make,co2TailpipeGpm
Acura,117285.618102
Alfa Romeo,2804.0
Aston Martin,109866.415659
Audi,457475.765199
Azure Dynamics,0.0
BMW,1056502.89606
BMW Alpina,2221.75
BYD,0.0
Bentley,103264.500333
Bugatti,13969.0
Buick,158499.420334
CODA Automotive,0.0
Cadillac,323999.208578
Chevrolet,1101470.07962
Chrysler,234228.161847
Daewoo,2731.12402227
Dodge,500711.537283
Ferrari,132259.265534
Fiat,29793.6972701
Fisker,338.0
Ford,959510.994484
GMC,713588.266234
Genesis,6498.0
Honda,330868.469494
Hummer,15478.1916667
Hyundai,346683.516649
Infiniti,249906.302884
Isuzu,43131.19993
Jaguar,203251.170451
Jeep,329403.153348
Kia,313580.165827
Lamborghini,114626.205644
Land Rover,91104.4664672
Lexus,266637.43947
Lincoln,180363.850348
Lotus,19808.4502941
MINI,196008.177565
Mahindra,509.0
Maserati,63413.5222527
Maybach,31503.275641
Mazda,314583.442043
McLaren Automotive,15649.4444444
Mercedes-Benz,777676.193082
Mercury,126647.014757
Mitsubishi,296183.057148
Mobility Ventures LLC,2190.0
Nissan,557799.314858
Oldsmobile,6052.09402116
Pagani,671.0
Pontiac,137339.133458
Porsche,483079.383504
Ram,55859.7
Rolls-Royce,74850.1399267
Roush Performance,39027.6253142
SRT,2428.0
Saab,104533.394978
Saleen Performance,3222.75824176
Saturn,81784.1784239
Scion,54829.378682
Shelby,1045.52941176
Spyker,7109.6
Subaru,319200.483702
Suzuki,143137.845239
"Tecstar, LP",4101.69230769
Tesla,0.0
Toyota,639681.7279
VPG,3437.62948718
Volkswagen,388348.658207
Volvo,326448.351378
smart,9881.22222222
